name,category,price,volatility
Montech XR,Case,$69.90 ,0.1
Phanteks XT PRO,Case,$59.99 ,0.1
Corsair 3500X ARGB,Case,$119.99 ,0.1
NZXT H5 Flow (2024),Case,$84.99 ,0.1
Corsair 3500X ARGB,Case,$119.99 ,0.1
Lian Li O11 VISION COMPACT,Case,$124.99 ,0.1
Fractal Design North,Case,$154.99 ,0.1
Cooler Master MasterBox Q300L,Case,$34.99 ,0.1
Lian Li O11 VISION COMPACT,Case,$124.99 ,0.1
HYTE Y70 Touch Infinite,Case,$379.99 ,0.1
Phanteks XT PRO ULTRA,Case,$79.98 ,0.1
Lian Li A3-mATX,Case,$72.99 ,0.1
Fractal Design North XL,Case,$194.99 ,0.1
Lian Li O11 Dynamic Mini V2,Case,$89.99 ,0.1
Lian Li Lancool 207,Case,$82.99 ,0.1
Corsair FRAME 4000D RS ARGB,Case,$99.99 ,0.1
Lian Li A3-mATX,Case,$86.99 ,0.1
Lian Li O11D EVO RGB,Case,$159.99 ,0.1
Phanteks Eclipse G370A,Case,$49.98 ,0.1
Lian Li Vector V100R,Case,$76.49 ,0.1
Montech AIR 100 ARGB,Case,$54.90 ,0.1
HYTE Y70 Touch Infinite,Case,$379.99 ,0.1
NZXT H9 Flow (2025),Case,$139.99 ,0.1
NZXT H6 Flow,Case,$99.99 ,0.1
Lian Li O11 Dynamic Mini V2,Case,$89.99 ,0.1
Lian Li LANCOOL 217,Case,$119.89 ,0.1
NZXT H3 Flow,Case,$59.99 ,0.1
Fractal Design Terra,Case,$199.99 ,0.1
Fractal Design Pop XL Air,Case,$119.99 ,0.1
Cooler Master MasterBox NR200,Case,$54.99 ,0.1
Montech AIR 903 MAX,Case,$63.99 ,0.1
Thermaltake Versa H18,Case,$122.44 ,0.1
NZXT H6 Flow,Case,$102.97 ,0.1
NZXT H5 Flow (2024),Case,$84.99 ,0.1
Cooler Master Q300L V2,Case,$59.99 ,0.1
HYTE Y70,Case,$189.99 ,0.1
Lian Li O11 Dynamic EVO XL,Case,$229.99 ,0.1
Lian Li O11 Dynamic Mini V2 Flow,Case,$99.99 ,0.1
Montech AIR 903 BASE,Case,$59.88 ,0.1
Antec C5 ARGB,Case,$114.99 ,0.1
HYTE Y70,Case,$189.99 ,0.1
Fractal Design Meshify C,Case,$109.99 ,0.1
Corsair FRAME 4000D,Case,$104.99 ,0.1
NZXT H7 Flow (2024),Case,$94.99 ,0.1
Phanteks XT M3,Case,$59.98 ,0.1
Montech KING 95 PRO,Case,$124.99 ,0.1
